Index,smiles,logt,Unnamed: 3
TR193,Nc1ccc(cc1)S(=O)(=O)N(COC(=O)c2ccccc2)c3ncccn3,0.2639845179767563,
TR266,CN(CC(=O)[O-])C(=O)[C@@H]([NH3+])CCC(=O)OCCOCn1cnc2C(=O)NC(=Nc12)N,0.5977445683163903,
TR102,CC(=O)O[C@@H]1C2=C(C)[C@H](C[C@@](O)([C@@H](OC(=O)c3ccccc3)[C@@H]3[C@@]4(CO[C@@H]4C[C@H](O)[C@@]3(C)C1=O)OC(C)=O)C2(C)C)OC(=O)[C@H](O)[C@@H](NC(=O)c1ccccc1)c1ccccc1,0.825857313169995,
TE122,CCCCCOC(=O)C[C@H](NP1(=O)COC(Cn2cnc3c(N)ncnc32)CO1)C(=O)OCCCCC,0.497109583705464,
TE20,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)CO[N+]([O-])=O,0.2279970166547961,
TR235,NCCCC[C@H](N)C(=O)OC[C@H]1O[C@H](C[C@@H]1OC(=O)[C@@H](N)CCCCN)N2C=C(F)C(=O)NC2=O,0.5218072150172574,
TR261,COC(=O)[C@H](Cc1ccc(OC(=O)C)c(OC(=O)C)c1)NC(=O)CCCC(=O)N[C@@H](Cc2ccc(OC(=O)C)c(OC(=O)C)c2)C(=O)OC,0.5856876680701485,
TR73,COc1ccccc1C(=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC(=O)c1ccccc1OC(C)=O,0.2360214015374396,
TR219,CCC(C(OCC1=CC=C(C=C1)C)=O)C(CC2=CN=CN2C)COC(C3=CC=CC=C3)=O,0.4702982267652545,
TR110,Cc1cc(no1)C(=O)NC1=CC=CN([C@@H](CC#C)C(=O)N[C@@H](C[C@@H]2CCNC2=O)\C=C\C(=O)OC2CCCC2)C1=O,0.7942268538424383,
TE25,OC[C@H]1O[C@@H](O)[C@H](O)[C@@H](OC(=O)c2nn(Cc3cc(Cl)cc(Cl)c3)c3ccccc23)[C@@H]1O,0.5528238758758406,
TE105,Oc1c(CN2CCCC2)cc(CC(=O)OCc3cocc3)cc1CN4CCCC4,0.4315652743390024,
EX2,CC(C)(C)C(=O)OCO[P@@]1(=O)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](F)[C@@H]2O[P@](=O)(OCOC(=O)C(C)(C)C)OC[C@H]2O[C@@H](n3cnc4c(N)ncnc43)[C@H](F)[C@@H]2O1,0.5945582139236477,70.0
TR70,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)CCO[N+]([O-])=O,0.2589566173512724,
TR133,COc1cccc2C(=O)c3c(O)c4C[C@](O)(C[C@H](OC5CC(NC(=O)OCc6ccc(NC(=O)[C@H](CCCCN)NC(=O)[C@H](Cc7ccccc7)NC(=O)[C@@H](N)Cc7ccccc7)cc6)C(O)C(C)O5)c4c(O)c3C(=O)c12)C(=O)CO,0.5662298371876421,
TR430,Oc1c(CN2CCCC2)cc(CC(=O)OCC3CCc4ccccc4C3)cc1CN5CCCC5,0.3069921100845349,
TR214,CCOC(=O)c1ccc(cc1)N=NN(C)C(=O)OCOC(=O)C,0.4460776069089019,
TR397,C[C@H](CS)C(=O)OCC(=O)O,0.5711356316212916,
TR79,CC(=O)O[C@@H]1CO[C@@H]2[C@H](CO[C@H]12)OC(=O)c1ccccc1OC(C)=O,0.1895414693163444,
TE36,C[C@H]1[C@@H]2[C@H](CCN2C(=O)OCc2ccccc2)N(C(=O)C2CC2)C1=O,0.6099082879265011,
TE69,CCCCS(=O)(=O)NC1CC2=CC=C(OCCCCCCNC(=O)\C=C/C3=CC=CC=C3OC1=O)C=C2,0.6166472687666247,
TE84,COC1=C(OC(=O)C2=CC(O)=C(O)C(O)=C2)C=C(CO)C=C1,0.6687656131863793,
TE74,NC(CC1=CC=CC=C1)C(=O)OCC1=CC=CN=C1,0.6692623243042919,
TR56,COC(=O)[C@H](CS)NC(=O)[C@H](Cc1ccc(O)c(O)c1)NC(C)=O,0.5888354109876308,
TE83,OC1=CC=CC(OC(=O)C2=CC(O)=C(O)C(O)=C2)=C1,0.6751713047311758,
TR213,CCCCOC(=O)[C@H](Cc1ccccc1)NC(=O)CN,0.4424944143688922,
TR91,OC1O[C@H](COC(=O)c2nn(Cc3cc(Cl)cc(Cl)c3)c3ccccc23)[C@H](O)[C@H](O)[C@H]1O,0.6426167125984135,
TR156,CN1CCN(Cc2ccc(cc2)C(=O)Oc2ccc(NC(C)=O)cc2)CC1,0.7578718473280958,
TR11,NCc1ccc(cc1-c1cccc(c1)C(=O)Oc1ccccc1)C(=O)Nc1ccncc1F,0.4006982435231307,
TR159,CN(C)Cc1ccc(cc1)C(=O)Oc1ccc(NC(C)=O)cc1,0.6128627074779839,
TR272,C[C@H](NC(=O)[C@H](N)CCC(=O)OCCc1ccccc1)C(=O)O,0.6220230720458642,
TR149,CC1=CN([C@H]2C[C@H](N=[N+]=[N-])[C@@H](COC(=O)C(N)CCCCN)O2)C(=O)NC1=O,0.5232222452737235,
TR32,CC(=O)Oc1ccccc1C(=O)Nc1ncc(s1)[N+]([O-])=O,0.3877199407955062,
TE72,C[C@H](NC(=O)[C@H]([NH3+])CCC(=O)OCc1ccccc1)C(=O)[O-],0.6629925202627656,
EX22,CC[C@@H](C)OC(=O)C1(c2nc3c(OC)ccc(-c4ccc5c(c4)COC5=O)n3n2)CC1,0.4528165878085088,13.0
TR182,CCN(CC)CCN(CC)Cc1cccc(c1)C(=O)OCC(NC(=O)C(Cl)Cl)C(O)c1ccc(cc1)[N+]([O-])=O,0.2279970166547961,
TR109,CCOC(=O)c1ccc2nc(sc2c1)N1[C@H]2CCN([C@@H]2[C@H](C)C1=O)C(=O)[C@@H]1CCCN1C(=O)Nc1ccc(cc1)C(C)C,0.7665693359341369,
TE116,COc1ccc2C(=O)N(COC(=O)c3c(Cl)cccc3Cl)S(=O)(=O)c2c1,0.372369866789889,
TE110,COc1cc(C(C)C)c2C(=O)N(COC(=O)c3c(Cl)cccc3Cl)S(=O)(=O)c2c1,0.6529158800342796,
TR287,CC(C)OC(=O)[C@@H](N)Cc1ccc(O)c(O)c1,0.6975907010375338,
TR216,CCC(C(OCC1=CC=CC=C1)=O)C(CC2=CN=CN2C)COC(C3=CC=CC=C3)=O,0.4460776069089019,
TR55,COC(=O)[C@H](Cc1ccc(O)c(O)c1)NC(=O)[C@H](CS)NC(C)=O,0.594075735226558,
TE53,CCC(C(COC(C1=CC=CN=C1)=O)CC2=CN=CN2C)C(OCC3=CC=CC=C3)=O,0.3877199407955062,
TR351,CC1=NC(CO)=C(C)N=C1COC(=O)C(C)(C)C,0.6620266321523958,
TR290,CC(C)C[C@H]1NC(=O)[C@H](Cc2ccccc2)NC(=O)CNC(=O)[C@@H](C)NC(=O)[C@H](Cc3ccc(O)cc3)NC(=O)\C=C/c4ccccc4OCOC1=O,0.7063196281088343,
TR297,FC(F)(F)C1=C(NC2=CC=CC=C2CC(=O)OCOC(=O)NC(CC2=CC=CC=C2)C(=O)N2CCCCC2)C=CC=C1,0.7481712434877095,
TR119,C[C@H]1[C@@H]2[C@H](CCN2C(=O)OCc2ccccc2)N(C(=O)NCc2ccccc2)C1=O,0.7907899555966297,
TR488,CCOC(=O)[C@H](C)NP(=O)(OC[C@H]1O[C@@H](c2cnc3c(N)ncnn23)[C@](C)(F)[C@@H]1O)Oc1ccccc1,0.7863483336603013,
TR82,CC(=O)Oc1ccccc1C(=O)O[C@H]1CO[C@@H]2[C@@H](CO[C@H]12)OC(=O)c1ccncc1,0.1435266891670008,
EX13,O=C(Cc1ccccc1Nc1c(Cl)cccc1Cl)OCCOc1ccc2ccc(=O)oc2c1,0.4802146531859719,18.0
